Study	Site	pH	Salinity	Description	BioProject ID		Paired/Single	Comments	IMG id			T(°C)
Preciado24	WCL3	4,9	41,2	Chaotrophic brine	PRJNA541281 	SRR28304476				-	-	30,5
Preciado24	WCL2	5	33,8	Chaotrophic brine	PRJNA541281 	SRR28304477				-	-	39,3
Preciado24	9Gt	5,9	32,5	Chaotrophic brine	PRJNA541281 	SRR28304478				-	-	35,5
Preciado24	9Ass	6,7	30,2	Chaotrophic brine	PRJNA541281 	SRR28304479				-	-	30,6
Preciado24	Ass	6,6	36	Chaotrophic brine	PRJNA541281 	SRR28304480				-	-	26,2
Michoud2021	N7F9	7,22	11,72	Deepsea	PRJNA593704 	SRR10589498				-	-	-
Michoud2021	N7F6	7,18	12,933	Deepsea	PRJNA593704 	SRR10589499				-	-	-
Michoud2021	N7F1	7,39	13,93	Deepsea	PRJNA593704 	SRR10589500				-	-	-
Michoud2021	N5F8	7,9	4,01	Deepsea	PRJNA593704 	SRR10589501				-	-	-
Michoud2021	N5F5	7,73	4,79	Deepsea	PRJNA593704 	SRR10589502				-	-	-
Michoud2021	N4F7	7,89	4,17	Deepsea	PRJNA593704 	SRR10589503				-	-	-
Michoud2021	NF4F5	7,56	7,09	Deepsea	PRJNA593704 	SRR10589504				-	-	-
Michoud2021	N4F4	7,27	9,68	Deepsea	PRJNA593704 	SRR10589505				-	-	-
Michoud2021	BODY	7,59	14,9	Deepsea	PRJNA593704 	SRR10589506				-	-	-
Michoud2021	N4F3	7,14	11,78	Deepsea	PRJNA593704 	SRR10589507				-	-	-
Michoud2021	N4F2	7,15	12,47	Deepsea	PRJNA593704 	SRR10589508				-	-	-
Cabello-Yeves2021	St307_750m	7,63	2,221	Deepsea	PRJNA638805	SRR12042682				-	-	8,9
Tee21	FS7	7,57	2,63	Estuary	PRJNA668816	SRR12825407				-	-	20,3
Tee21	FS6	7,37	2,12	Estuary	PRJNA668816	SRR12825408				-	-	18,3
Tee21	FS5	7,42	2,4	Estuary	PRJNA668816	SRR12825409				-	-	-
Tee21	FS4	7,26	2	Estuary	PRJNA668816	SRR12825410				-	-	20,7
Tee21	FS3	7,2	0,85	Estuary	PRJNA668816	SRR12825412				-	-	20,4
Yang2024	S6_2	8,02	1,509	Estuary	PRJNA729603	SRR14527627				-	-	-
Yang2024	S6_1	8,06	1,521	Estuary	PRJNA729603	SRR14527628				-	-	-
Yang2024	S5_3	8,02	0,506	Estuary	PRJNA729603	SRR14527629				-	-	-
Yang2024	S5_2	8	0,516	Estuary	PRJNA729603	SRR14527630				-	-	-
