Study	Site	Quantative,Qualative	pH	Salinity (mS/cm)	Latitude	Longitude	Description	Soil/Tailing/Sediment	Sequencing method	Library	Kit	BioProject ID	Sequence Reads Archive	K+(mmol/kg)	Na+(mmol/kg)	T(°C)									
Anantharaman2016	Anantharaman2016	Quantatative	7,11	0,489	39,52889	-107,77194	Groundwater	Sediment	Illumina HiSeq 2000			PRJNA288027	SRR2090150												
Babalola2025	D04_pooled	Qualatative			-26,02	27,73	Grassland	Soil	Illumina NovaSeq 6000			PRJNA982608	SRR24958429												
Babalola2025	Cave replicate 1	Qualatative			-26,02	27,73	Cave Sediments	Sediment	Illumina NovaSeq 6000			PRJNA982608	SRR24958431												
Bay2025	M3-CC	Quantatative	8,05	2,757	37,40591	148,21114	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067774	7,62	4,08										
Bay2025	TC-CC	Quantatative	4,25	1,592	38,05706	141,92	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067707	14,02	56,14										
Bay2025	M3-CA	Quantatative	8,04	0,937	37,40591	148,21114	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067781	11,6	3,64										
Bay2025	SC-E	Quantatative	7,98	0,755	37,44	148,17	Cave Sediments	Soil	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067793	41,33	2,72										
Bay2025	TC-CB	Quantatative	3,66	0,62	38,05706	141,92	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067711	6,15	28,78										
Bay2025	SC-CA	Quantatative	8,06	0,531	37,44	148,17	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067755	6,55	2,87										
Bay2025	M3-E	Quantatative	7,97	0,37	37,40591	148,21114	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067783	23,07	1,17										
Bay2025	TC-CA	Quantatative	4,89	0,243	38,05706	141,92	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067716	10,48	32,2										
Bay2025	SC-CC	Quantatative	8,22	0,219	37,44	148,17	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067792	5,92	2,41										
Bay2025	M3-CB	Quantatative	8,72	0,206	37,40591	148,21114	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067776	8,3	1,91										
Bay2025	SC-CB	Quantatative	8,34	0,153	37,44	148,17	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067733	5,94	3,04										
Bay2025	TC-E	Quantatative	5,01	0,149	38,05706	141,92	Cave Sediments	Soil	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067706	15,07	8,31										
Bay2025	H1-E	Quantatative	4,96	0,098	37,9075	141,9769	Cave Sediments	Sediment	Illumina NovaSeq 6000		Nextera XT DNA kit	PRJNA1048116	SRR27067732	7,97	6,05										
Blaustein2025	S11	Qualatative			38,92	-76,14	Lake_Sediment	Sediment	Illumina NextSeq 1000	Illumina DNA Prep kit with UD Indexes		PRJNA1062331	SRR33648766												
Brewer2017	NTP21-deep	Qualatative			43,44	-92,38	Grassland	Soil	Illumina HiSeq 2000			PRJNA342239	SRR4241755												
Bueno-de-musquita et al,2021	SBSPR1A	Quantatative	7,75		37,4969	-122,1331	Saltern	Sediment	Illumina HiSeq 2500			PRJNA365332	SRR5209944			24,7									
Camargo-Montoya2025	D-Bra	Quantatative	6,7	0,0049	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681066												
Camargo-Montoya2025	D-Tor	Quantatative	6,78	0,004	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681047												
Camargo-Montoya2025	D-Tru	Quantatative	6,1	0,0037	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681044												
Camargo-Montoya2025	D-C	Quantatative	6,94	0,0014	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681049												
Camargo-Montoya2025	W-Tru	Quantatative	6,38	0,001	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681052												
Camargo-Montoya2025	W-Tor	Quantatative	6,97	0,001	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681057												
Camargo-Montoya2025	W-C	Quantatative	6,68	0,0009	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681060												
Camargo-Montoya2025	W-Bra	Quantatative	6,73	0,0007	11,5913	-72,3254	Semi-arid Soil	Soil	MGISEQ-2000RS			PRJNA817243	SRR19681061												
Carnevali2021	BGXWG	Qualatative		38,9231	38,9231	-106,9513	Flood	Soil	Illumina Hiseq2500			PRJNA630765	SRR6262588												
Carnevali2021	BGXTC	Qualatative			38,8895	-106,9087	Flood	Soil	Illumina Hiseq2500			PRJNA630765	SRR6262230												
