Study	Site	Qualatative/Quantative	pH	Salinity	Latitude	Longitude	Description	Earth_Water_Air	Sequencing	Library kit	Extraction	BioProject ID	SRA_id	K (mM)	Na (mM)	T(°C)
Zaikova2018	LW	Quantitative	2,4	30	-32,431411	118,906279	Acidic brine	Water	Illumina MiSeq	MiSeq Reagent Kit v3	DNA easy Power Water kit	PRJNA400642	SRR5990696			25
Zaikova2018	GW	Quantitative	3,4	4	-34,431386	118,906296	Acidic brine	Water	Illumina MiSeq	MiSeq Reagent Kit v3	DNA easy Power Water kit	PRJNA400642	SRR5990695			28
Gutierrez-preciad024	Ass	Quantitative	6,6	36	14,089567	40,348583	Acidic brine	Water	Illumina HiSeq 2500		DNeasy PowerSoil Kit	PRJNA541281 	SRR28304480	-	-	26,2
Gutierrez-preciad024	9Ass	Quantitative	6,7	30,2	14,053647	40,381103	Acidic brine	Water	Illumina HiSeq 2500		DNeasy PowerSoil Kit	PRJNA541281 	SRR28304479	-		30,6
Gutierrez-preciad024	9Gt	Quantitative	5,9	32,5	14,229704	40,289952	Acidic brine	Water	Illumina HiSeq 2500		DNeasy PowerSoil Kit	PRJNA541281 	SRR28304478	-	-	35,5
Gutierrez-preciad024	WCL2	Quantitative	5	33,8	14,241914	40,267975	Acidic brine	Water	Illumina HiSeq 2500		DNeasy PowerSoil Kit	PRJNA541281 	SRR28304477	-	-	39,3
Gutierrez-preciad024	WCL3	Quantitative	4,9	41,2	14,242139	40,267853	Acidic brine	Water	Illumina HiSeq 2500		DNeasy PowerSoil Kit	PRJNA541281 	SRR28304476	-	-	30,5
Chen	Waste_rock1_Sept	Qualatative			46,65	-81,32	AMD	Water	 Illumina NovaSeq SP	-	PowerMax Soil kit	PRJNA379596	SRR5352536			
Ayala-Munoz2020	35-m Depth Deep Anoxic Layer	Quantitative	4,5	0,6941	37,78	-6,82	AMD	Water	Illumina HiSeq 4000	Illuminas NexteraXT library preparation kit		PRJNA646106	SRR12217123			18,3
Ayala-Munoz2020	3-m Depth Upper Oxic Layer	Quantitative	2,6	0,178	37,78	-6,82	AMD	Water	Illumina HiSeq 4000	Illuminas NexteraXT library preparation kit		PRJNA646106	SRR12217118			17
