SRA_id	RpS2_count	RpL4_count	DEIK_ratio	RK_ratio	MIP_count	ClcA_count	MscS_count	MscL_count	OpuAC_count	Na_ala_count	CorA_count	Na_Ca_count	BCCT_count	MgtE_count	EctC_count	MnhE_count	Trehalose_PPase_count	TrkH_count	Kup_count	Hppase_count	NhaB_count	NhaC_count	NhaD_count	Kdp_count	MtrA_count	AApermease_count	BranchedchainAA_transp_count	TreT_count	NqrA_count	KimA_count	Betain_ald_dehyd_count	total_CPA_count	Uncharacterized_CPA_count	Kef_count	CPA1_count	NhaA_count	NhaS5_count	CHX_count	GerN_count	CPA1_SL_count	NhaP_CPA1_count	SOD2_count	Undescribed_CPA1_count	UndProkarya_CPA1_IDK_count
SRR29699994	12297	11375	0.7066016027440359	0.8048013026448972	5028	11426	20316	5910	10894	12523	15546	23211	11716	7961	1124	7082	4478	26166	5718	22896	587	7151	56153	654	38	30957	171	272	3171	724	92389	66985	5869	22167	4737	6629	3651	4126	348	892	3575	6476	3904	4611
SRR15430510	21889	20943	0.8297001930854432	0.9484441132218738	7977	6981	52879	12368	117650	68301	26999	39560	146351	15140	4877	12597	3805	47170	644	1180	7207	88081	121041	788	0	76204	25479	38	16310	93	514169	143464	17076	22306	12603	3289	1775	23856	0	0	29515	15080	856	17108
SRR9660393	2125	1932	0.6126471224243922	0.5659006421088205	779	1088	1289	264	2690	2681	586	1878	1194	971	43	154	69	4337	103	5000	712	985	3393	2	30	1952	25	1	503	21	15320	4491	1063	942	353	1265	342	105	0	2	27	83	61	248
SRR22573012	4400	3844	0.860175280048759	1.1709428740857877	6768	8602	3949	2503	6188	171	5680	6141	28	1583	167	122	2399	375	6873	10641	4	116	6284	6893	93	49861	38	566	283	3121	49667	20720	1332	4739	5426	2050	2207	3312	152	0	499	294	591	118
SRR10694889	5996	6026	0.6995190601263577	0.8569111270549334	3057	6761	5660	1124	6046	8779	671	7884	5213	3350	90	486	447	10391	179	12513	923	3043	13034	9	13	6900	94	17	1853	156	45797	18604	5303	2280	1904	2621	2357	83	4	148	391	142	379	2992
SRR22405881	22097	21958	0.9556849585471773	1.4301184229735415	43535	17288	14851	10364	42794	1208	37632	52791	7411	5424	220	3393	18068	9928	14912	45659	0	340	38666	13042	428	173379	19	2305	185	25639	258163	128279	4497	11203	41002	18113	8283	7700	215	17	16898	18313	227	1811
SRR15526470	7424	7823	1.36650628659616	1.7670515097690942	55	87	11097	8	1114	757	416	12895	19537	10919	20	7291	360	18957	0	824	1	1387	17351	1	1	66715	0	157	5	0	26455	12852	660	894	738	43	131	4	0	5	3	0	10	10364
ERR1726008	520	419	0.8002197399743637	0.9442190669371197	610	473	831	356	1136	1327	1243	531	1520	354	1	248	241	1000	1006	53	169	1310	1416	320	0	4545	706	0	84	29	4924	3018	100	1604	784	222	13	18	40	6	153	30	14	34
SRR6821719	5870	5011	0.9556541019955654	1.3192130679976664	5903	16117	5635	3785	4626	479	8735	9745	173	1950	118	384	4622	1119	5437	15441	38	346	11087	4151	218	50526	35	1972	97	8036	56860	28993	3093	4917	7149	3328	1083	2144	851	10	1986	2647	1486	299
SRR23617213	28385	26380	0.6579868460736056	0.8422417398578	26834	12248	12918	12835	18122	1002	34729	21510	829	12845	222	412	6100	2669	36341	58859	68	1527	25827	11411	482	154361	118	696	1320	12301	255802	92114	5174	31858	10489	12598	5677	12482	320	257	4611	3967	4524	157
SRR27943758	2056	2019	0.8111060910995195	1.0593138349333928	4698	5285	2072	1163	2969	347	4131	2714	181	935	43	380	1276	548	3448	4947	41	401	4637	4744	3	21505	63	191	94	1787	33961	14307	602	3102	3247	1996	1367	1265	93	2	1011	1128	323	171
SRR28149506	11640	12704	1.308319263102994	1.764246091780131	3757	3831	46557	3160	9668	11099	15321	72028	24227	15725	447	9041	3576	42496	2067	12579	47	16572	86417	130	26	146947	31	1873	565	31	94613	71692	7497	23214	7108	5204	1068	2146	5	81	1314	1652	2281	20122
SRR28327197	7351	7210	0.7141823766386967	0.8290219070633443	3463	1675	3348	2026	2502	379	10393	5664	21	1544	32	88	126	2109	10418	21690	23	289	7605	309	25	28298	106	15	516	2768	64871	18078	3744	7741	426	2229	202	2313	17	17	391	190	782	26
